@relation sentiment
@attribute 1st_person numeric
@attribute 2nd_person numeric
@attribute 3nd_person numeric
@attribute coord_conj numeric
@attribute past_verb numeric
@attribute  future_verb numeric
@attribute  comma numeric
@attribute colon numeric
@attribute dash numeric
@attribute parenthesis numeric
@attribute ellipses numeric
@attribute common_noun numeric
@attribute  proper_nouns numeric
@attribute adverbs numeric
@attribute wh_words numeric
@attribute slang numeric
@attribute upper numeric
@attribute all_length numeric
@attribute no_punc_length numeric
@attribute num_of_sent numeric
@attribute class {pos, neg}

@data
0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1,0,4.5,3.5,4,pos
0,0,0,1,0,0,0,0,1,0,0,9,1,1,0,1,1,8.66666666667,7.66666666667,3,pos
0,1,0,0,0,0,0,0,0,0,2,2,0,3,0,1,0,6.0,4.33333333333,3,pos
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1.5,1.0,2,pos
0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,3.33333333333,2.66666666667,3,pos
0,0,0,0,3,0,2,1,0,0,0,3,1,0,0,1,0,6.5,4.5,2,pos
1,0,0,1,0,1,0,0,0,0,0,2,0,2,0,1,0,6.5,6.0,2,pos
1,0,1,1,0,1,2,0,0,0,0,5,1,2,0,2,0,9.66666666667,7.66666666667,3,pos
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3.0,2.5,2,pos
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2.0,1.5,2,pos
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3.0,2.5,2,pos
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,4.5,3.5,2,pos
0,0,1,1,0,0,0,0,0,0,0,5,0,2,0,1,2,8.5,7.5,2,pos
0,0,1,1,0,0,1,0,0,1,0,5,0,0,0,1,0,5.75,4.25,4,pos
1,0,0,1,0,0,0,1,1,0,0,7,0,0,0,1,0,14.0,12.0,2,pos
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.5,2,pos
0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,5.0,4.0,2,pos
2,3,0,1,1,0,3,0,0,0,0,8,0,0,0,1,0,11.0,9.0,2,pos
2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,6.0,5.5,2,pos
1,1,0,0,1,0,0,0,0,0,0,2,1,1,1,1,0,4.33333333333,3.33333333333,3,pos
0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,5.5,4.5,2,pos
0,2,3,1,0,0,0,0,0,0,0,10,0,3,0,3,0,14.5,14.0,2,pos
1,0,1,1,1,0,0,1,0,0,0,17,2,1,1,1,0,16.5,13.5,2,pos
1,1,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,3.25,2.25,4,pos
3,0,2,1,0,0,0,0,0,0,0,10,0,0,0,1,0,6.5,5.5,4,pos
2,0,3,0,0,0,1,0,0,0,0,3,0,3,0,1,0,14.0,12.5,2,pos
3,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2,1,5.0,4.0,4,pos
1,0,0,0,1,0,0,0,0,0,1,3,0,4,0,1,0,5.0,4.0,4,pos
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,5.5,4.0,2,pos
0,0,2,0,0,1,0,0,0,0,0,3,1,1,0,1,0,5.0,4.33333333333,3,pos
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,4.5,3.5,2,pos
1,1,0,0,0,0,0,0,0,0,0,4,2,0,1,1,7,5.33333333333,4.33333333333,3,pos
0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,1,0,5.0,4.0,2,pos
0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,2.33333333333,1.33333333333,3,pos
2,1,0,0,0,0,0,0,0,0,0,6,0,1,0,2,0,7.33333333333,6.66666666667,3,pos
1,0,0,0,1,0,0,0,0,0,0,5,0,1,0,1,0,7.5,6.0,2,pos
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,1.0,2,pos
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2.0,1.5,2,pos
3,0,1,1,0,0,1,0,0,0,0,6,0,1,0,1,0,15.0,13.5,2,pos
